"run_id","wave_id","provider","requested_model","prompt_id","prompt_version","prompt_family","analysis_role","planned_repetitions","repetition_index","request_id","api_timestamp","system_id","mode","govern_model_raw","observed_model","observed_model_source","temperature_mode","temperature_requested","temperature_resolved_if_available","top_p_requested","seed_requested","stream_request_id","stream_event_count","stream_decision","stream_stability_score","stream_r_score","llm_response","llm_response_raw","llm_response_encoding_repaired","token_count","token_count_source","latency_ms","processing_time_ms","decision","classification_confidence","governance_reasons","g_score","g_final","v_score","delta_g","checks_emitted","stability_score","coherence_score","semantic_risk","factual_hallucination_score","semantic_instability_score","information_density","runtime_r_score","latency_score","cost_score","e_token","energy_score","baseline_reference_energy","baseline_observed_energy","baseline_delta_E","baseline_esi_q","baseline_esi_bootstrap","density_volumetric_density","density_informational_energy","density_informational_density","density_risk_coefficient","esi_s_component","esi_p_component","esi_q_component","esi_c_component","measurement_version","normalizer_version","trace_id","rag_grounding","raw_stream_payload","raw_govern_payload","error_phase","error","error_details","stream_post_body_debug","govern_post_body_debug"
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","1","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","2","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","3","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","4","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","5","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","6","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","7","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","8","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","9","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","10","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","11","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","12","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","13","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","14","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","15","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
"cohere_command-a-03-2025_weekly_baseline_d1_retry_20260715T225539Z","weekly_baseline_d1_retry","cohere","command-a-03-2025","NM-WEEKLY-Q01","v1.0.0","reasoning_simple","reasoning_anchor","100","16","","","","ERROR","","command-a-03-2025","runner_declared","provider_default",,,,,"","0","",,,"","","False",,"",,,"ERROR",,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","stream","The /stream endpoint returned no LLM response text.","","{""provider"":""cohere"",""model"":""command-a-03-2025"",""prompt"":""Une batte et une balle coûtent ensemble 1,10 €.\nLa batte coûte 1 € de plus que la balle.\nCombien coûte la balle ?\n\nExpliquez brièvement votre raisonnement."",""provider_api_key"":""cohere_YZppKXm21Eyk36Erzzxwloh0lqkGxWtg3mcuKxXt1VLoy""}",""
